productName,shortName,productPrice
once,once,46867188.73
guess,g,32932984.68
drug,drug,92775242.58
role,role,89704845.63
month,m,55385004.2
its,its,71798658.47
picture,p,49557491.54
international,i,41743635.84
tend,tend,13009920.0
back,back,37581135.15
character,c,38078764.7
speak,s,5226803.49
without,w,90384335.16
increase,i,96810630.42
cut,cut,98877012.23
soldier,s,86866219.51
view,view,49700730.2
could,c,46595664.92
news,news,28976238.81
suddenly,s,37816543.81
message,m,67250680.26
top,top,72575264.55
rise,rise,10377967.96
real,real,47106211.45
war,war,97345272.59
eight,e,14429234.42
thus,thus,51154534.93
during,d,91988211.65
common,c,17114464.37
area,area,65772337.83
other,o,27640513.46
upon,upon,28801068.66
four,four,60869929.63
he,he,6194097.58
side,side,42865429.55
issue,i,63007543.35
simple,s,53805888.3
government,g,22403811.95
half,half,27587351.41
born,born,24859128.91
safe,safe,70683791.4
buy,buy,65439055.14
would,w,43930902.82
security,s,9242811.87
state,s,73070276.66
himself,h,30031773.36
forget,f,90720429.49
result,r,38912495.52
number,n,43423255.19
least,l,27025047.29
listen,l,38664069.56
forward,f,74433139.46
control,c,88649489.5
game,game,69830328.87
drop,drop,31383624.77
hair,hair,80458783.47
option,o,39945218.01
necessary,n,32473053.56
more,more,13820848.32
painting,p,21364550.12
rich,rich,21780365.66
thing,t,60804806.74
only,only,95142761.21
enough,e,12365293.77
pattern,p,81685710.66
deep,deep,61710496.15
music,m,34976713.38
way,way,97816646.11
also,also,26156989.08
establish,e,37102438.13
prepare,p,85654185.35
add,add,57987977.95
bring,b,24130754.27
film,film,3931446.9
face,face,81650374.2
girl,girl,98332890.08
enjoy,e,96470325.37
together,t,96897645.18
administration,a,31999720.08
name,name,87639039.52
same,same,51826522.05
discover,d,76059728.38
whether,w,37593816.68
student,s,34636670.38
time,time,59767760.44
Republican,R,63133389.56
very,very,77290316.09
week,week,7496903.64
herself,h,53970243.89
woman,w,1721120.81
current,c,6462622.55
hospital,h,25027933.6
easy,easy,46570718.63
need,need,96568022.71
low,low,38421570.29
specific,s,30503785.31
share,s,58516054.26
enter,e,9884594.89
play,play,31313173.8
raise,r,74060317.54
accept,a,69313500.09
paper,p,57139310.22
she,she,88195581.39
develop,d,91130745.91
nearly,n,21337478.62
wind,wind,81495632.22
relationship,r,81170640.93
improve,i,65509731.75
serve,s,33992078.26
think,t,65747243.67
condition,c,4134561.5
surface,s,12954420.25
hard,hard,75540189.17
theory,t,88597585.41
themselves,t,28607572.73
look,look,57265426.26
especially,e,14692721.46
dinner,d,12247483.24
campaign,c,15333880.99
office,o,71050209.58
our,our,73109561.05
position,p,78694890.6
beautiful,b,92244969.92
Mr,Mr,15599419.42
to,to,30270368.41
few,few,23502609.85
activity,a,11253968.45
beyond,b,68454007.35
decide,d,2256967.06
school,s,9525299.74
television,t,53075060.76
finish,f,57311831.89
whole,w,74277656.91
exactly,e,18323707.24
because,b,45784657.17
lot,lot,69111367.18
read,read,89085200.96
son,son,32852891.51
address,a,47690555.63
support,s,54028046.84
actually,a,19641166.2
do,do,33410953.78
two,two,26088695.88
it,it,80217032.68
hot,hot,94581509.09
various,v,81913160.19
beat,beat,97998543.89
fast,fast,97487740.43
guy,guy,55594961.8
interesting,i,57908408.4
practice,p,59986866.24
new,new,34866317.54
we,we,21893083.05
their,t,1944996.84
quality,q,4346891.87
mother,m,38158135.54
allow,a,21978374.99
here,here,33351153.64
record,r,97585882.42
stand,s,66967091.69
group,g,82996514.96
use,use,97704709.05
politics,p,9570738.95
financial,f,29354963.16
window,w,10420894.85
case,case,49027695.1
everybody,e,67034393.45
church,c,67810126.02
century,c,31957783.1
bill,bill,73436762.1
until,u,10468536.05
trip,trip,59822386.37
shoulder,s,61216445.39
about,a,78834914.65
